Company Name,year_month,Industry Category,n_reviews,composite_score,composite_std,core_score,sub_score,rating_mean,outlook_mean,recommend_mean,ceo_mean,pros_vader_mean,cons_vader_mean,text_sent_mean,stock_price,log_return,year_month_dt,covid_period,post_covid,composite_lag1,text_sent_lag1,composite_lag2,text_sent_lag2,composite_lag3,text_sent_lag3
Qualcomm,2018-03,"Technology (Hardware, Software & Internet)",114,0.5775438596491228,0.2660051446821295,0.5789473684210527,0.57475,0.6842105263157895,0.5175438596491229,0.6578947368421053,0.45614035087719296,0.5259473684210526,0.0758561403508772,0.6079438219290016,45.1,-0.15952109235562098,2018-03-01,0,0,0.5869034090909091,0.642814871926076,0.7061170212765957,0.6678518465771929,0.6530367231638419,0.666630568981173
Qualcomm,2018-04,"Technology (Hardware, Software & Internet)",131,0.5925954198473282,0.21455889557687544,0.5858778625954199,0.5988317757009346,0.6984732824427481,0.5267175572519084,0.6412213740458015,0.4770992366412214,0.5932770992366413,-0.014862595419847333,0.6480159465166929,41.52,-0.08270700765099943,2018-04-01,0,0,0.5775438596491228,0.6079438219290016,0.5869034090909091,0.642814871926076,0.7061170212765957,0.6678518465771929
Qualcomm,2018-05,"Technology (Hardware, Software & Internet)",200,0.484025,0.24333177172464193,0.453125,0.536938202247191,0.61,0.38,0.5,0.3225,0.5758705,-0.0907335,0.6628391775056415,47.8,0.14085040063977702,2018-05-01,0,0,0.5925954198473282,0.6480159465166929,0.5775438596491228,0.6079438219290016,0.5869034090909091,0.642814871926076
Qualcomm,2018-06,"Technology (Hardware, Software & Internet)",158,0.526376582278481,0.2557298079439456,0.5114715189873418,0.5568661971830986,0.625,0.4525316455696203,0.5791139240506329,0.38924050632911394,0.5272360759493671,-0.08425696202531645,0.6488661641374924,46.15,-0.03512867854854909,2018-06-01,0,0,0.484025,0.6628391775056415,0.5925954198473282,0.6480159465166929,0.5775438596491228,0.6079438219290016
Qualcomm,2018-07,"Technology (Hardware, Software & Internet)",150,0.6013000000000001,0.20615217224372231,0.5808333333333333,0.6635593220338983,0.6966666666666667,0.5466666666666666,0.5933333333333334,0.4866666666666667,0.580996,-0.11277066666666666,0.6697260887570464,52.71,0.13290822991825435,2018-07-01,0,0,0.526376582278481,0.6488661641374924,0.484025,0.6628391775056415,0.5925954198473282,0.6480159465166929
Qualcomm,2018-08,"Technology (Hardware, Software & Internet)",134,0.5809328358208955,0.2339232393782648,0.5867537313432836,0.5785416666666666,0.6455223880597015,0.6044776119402985,0.6119402985074627,0.48507462686567165,0.5648,-0.11532089552238806,0.6662662953582282,56.51,0.06961242277463642,2018-08-01,0,0,0.6013000000000001,0.6697260887570464,0.526376582278481,0.6488661641374924,0.484025,0.6628391775056415
Qualcomm,2018-09,"Technology (Hardware, Software & Internet)",88,0.5896022727272727,0.19972966153259453,0.5951704545454546,0.6007575757575757,0.6818181818181818,0.5511363636363636,0.6477272727272727,0.5,0.6014988636363636,-0.04469318181818182,0.6576638638610952,59.78,0.056253543214039886,2018-09-01,0,0,0.5809328358208955,0.6662662953582282,0.6013000000000001,0.6697260887570464,0.526376582278481,0.6488661641374924
Qualcomm,2018-10,"Technology (Hardware, Software & Internet)",88,0.5679545454545454,0.2762371715059907,0.5710227272727273,0.5635135135135135,0.6363636363636364,0.5568181818181818,0.5795454545454546,0.5113636363636364,0.5227045454545455,-0.06163181818181818,0.6419807722005942,52.19,-0.13578025120046996,2018-10-01,0,0,0.5896022727272727,0.6576638638610952,0.5809328358208955,0.6662662953582282,0.6013000000000001,0.6697260887570464
Qualcomm,2018-11,"Technology (Hardware, Software & Internet)",152,0.6165021929824561,0.21042150049031427,0.6192434210526315,0.6219362745098039,0.7105263157894737,0.5493421052631579,0.7269736842105263,0.4901315789473684,0.5463190789473684,0.042655921052631586,0.621526624044709,48.35,-0.07642468375601842,2018-11-01,0,0,0.5679545454545454,0.6419807722005942,0.5896022727272727,0.6576638638610952,0.5809328358208955,0.6662662953582282
Qualcomm,2018-12,"Technology (Hardware, Software & Internet)",89,0.6078932584269663,0.21455917376086214,0.6074438202247191,0.6263888888888889,0.6713483146067416,0.6235955056179775,0.6460674157303371,0.4887640449438202,0.6039157303370787,-0.11034831460674158,0.6749230610136204,47.74,-0.012696600988619269,2018-12-01,0,0,0.6165021929824561,0.621526624044709,0.5679545454545454,0.6419807722005942,0.5896022727272727,0.6576638638610952
